row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PB_neg_5.mzML Peak height,Cg2_neg_12.mzML Peak height,Cg1_neg_13.mzML Peak height,Ps2_neg_14.mzML Peak height,Cg3_neg_10.mzML Peak height,Asp3_neg_19.mzML Peak height,Ps1_neg_20.mzML Peak height,Asp2_neg_16.mzML Peak height,Asp1_neg_18.mzML Peak height,Ml1_neg_9.mzML Peak height,Ps3_neg_21.mzML Peak height,Ml3_neg_17.mzML Peak height,Ml2_neg_11.mzML Peak height,QC_neg_7.mzML Peak height,QC_neg_22.mzML Peak height,QC_neg_8.mzML Peak height,QC_neg_15.mzML Peak height,QC_neg_24.mzML Peak height,
3403,323.0384057495183,2.6810355,,,,,,,,,,,2854.3562,8398.516,4716.212,8691.078,26070.55,3686.3447,18272.35,0,4989.3022,6763.8774,20335.592,5898.3945,43182.062,15074.844,17081.547,16474.938,15610.163,4315.2183,
3406,363.9513479324685,2.7002277,,,,,,,,,,,0,0,0,9373.883,0,0,4993.2324,0,0,0,8403.225,0,0,0,0,0,0,0,
3414,703.3126659817883,2.7034209,,,,,,,,,,,0,0,0,0,0,10728.201,0,16221.009,12379.09,0,0,0,0,0,5243.914,0,0,0,
3417,577.1399220966906,2.70855,,,,,,,,,,,0,0,0,0,0,27965.043,0,26966.729,15846.88,8838.038,0,0,0,8026.7925,0,7120.8633,6694.631,7019.861,
3419,339.17110528040575,2.7042294,,,,,,,,,,,0,0,0,0,0,26753.584,0,37415.53,27406.264,0,0,0,0,16252.908,13766.534,14306.22,15091.167,15537.293,
3423,445.152801397365,2.7063148,,,,,,,,,,,0,0,0,0,0,7315.214,0,5492.9414,7989.3457,0,0,0,0,8422.704,8112.7183,8248.007,6546.4443,8466.525,
3427,373.1809970253989,2.6952457,,,,,,,,,,,0,0,0,0,0,24762.389,0,12715.418,24389.525,0,0,0,0,0,0,0,0,4467.8633,
3428,279.0871516020144,2.7077334,,,,,,,,,,,0,0,0,0,0,3525.1787,0,2334.6968,3351.3596,15437.53,1695.588,11759.953,0,14043.195,15865.985,14643.964,15372.49,15164.219,
3430,717.214300889973,2.7073586,,,,,,,,,,,0,0,0,0,0,140345.58,0,148627.88,100784.414,0,0,0,0,56699.465,45869.855,45881.53,48121.094,51496.58,
3435,237.1340313633912,2.7178392,,,,,,,,,,,0,0,0,7730.6045,0,5943.418,4964.567,18153.68,11911.665,0,5292.952,0,0,3453.3489,0,3597.9395,7054.487,0,
3437,492.14121343084327,2.7081902,,,,,,,,,,,0,0,0,0,0,18152.062,0,20911.395,10900.393,0,0,0,0,0,0,0,1365.1769,3476.3577,
3438,381.14695818728677,2.705519,,,,,,,,,,,0,0,0,0,0,51177.395,0,63218.848,74803.11,0,0,0,0,0,19643.664,18238.508,24402.414,27125.453,
3439,385.11428901287627,2.708148,,,,,,,,,,,0,17312.385,30088.79,0,6915.227,0,0,28644.83,0,0,0,0,0,4016.7852,0,4189.585,4003.0815,10590.714,
3447,299.02037276967155,2.7004042,,,,,,,,,,,0,0,16308.48,7413.2637,0,0,7264.02,0,0,0,9251.531,0,0,0,0,0,0,0,
3448,212.97921423115034,2.7155287,,,,,,,,,,,4515.3174,4763.508,6077.541,6432.1143,4003.2441,10215.0205,6910.584,11866.089,9027.305,4403.4673,8340.883,4280.123,2878.6128,8639.975,8629.89,8506.811,8737.899,7815.713,
3449,397.1045290802144,2.706987,,,,,,,,,,,3056.3865,0,0,1951.0023,0,388584.94,5798.983,843874.0,307961.75,5634.298,3603.398,6199.2114,0,328259.7,339573.1,336352.16,297580.94,122410.25,
3451,345.1549349393433,2.7116861,,,,,,,,,,,0,0,0,3400.1423,0,26308.027,3148.9404,60254.445,28886.621,1373.2756,3730.903,0,2485.467,4002.4636,14081.293,2609.878,12278.65,16080.182,
3454,295.11847346787704,2.7066584,,,,,,,,,,,0,2059.7598,0,0,0,43521.332,1826.5613,46969.43,31660.846,1521.3722,0,2496.7039,0,23389.984,25865.574,27465.67,26271.432,24234.014,
3455,619.1457701773643,2.71335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3857.559,0,4531.102,1428.6333,5348.4414,4418.608,5294.096,4638.154,8110.472,
3456,325.977243227752,2.7113554,,,,,,,,,,,0,0,0,8116.699,0,0,4382.168,0,0,0,8665.377,0,0,0,0,0,0,0,
3457,415.1603031532721,2.7095518,,,,,,,,,,,0,0,0,1874.1116,0,267061.22,1750.9419,439293.0,73139.62,0,0,0,0,59634.63,52641.5,54939.89,49235.043,60936.17,
3461,397.1766639686793,2.7125711,,,,,,,,,,,0,0,0,0,0,137473.78,0,183561.62,191364.97,0,0,0,0,81286.164,85146.13,85144.13,83671.734,90402.49,
3467,387.1472684953895,2.71725,,,,,,,,,,,0,0,0,0,0,14707.389,0,16947.61,15036.75,1799.215,0,0,0,10717.763,11659.619,9797.253,10341.029,11833.751,
3473,207.065869073109,2.724195,,,,,,,,,,,0,9819.445,0,0,16306.559,3081.0498,0,9681.131,0,0,1870.6847,0,10147.651,5027.4116,1578.4537,5220.7583,5131.0044,0,
3476,385.18562283228937,2.7182033,,,,,,,,,,,0,0,0,0,0,14987.115,0,20448.807,5596.044,0,0,0,0,0,0,0,5876.7627,3499.388,
3477,297.1339976171766,2.725693,,,,,,,,,,,0,0,0,3328.096,0,102736.67,2899.153,98782.305,57513.51,3126.7583,3947.2388,3837.0508,2568.1204,48192.79,54031.41,48947.023,45779.492,51895.44,
3478,333.11099057751136,2.7094057,,,,,,,,,,,0,0,0,2599.9346,0,41023.55,0,31805.443,20874.94,2361.8174,3076.586,0,1092.3252,30681.78,34813.11,31806.377,26236.346,32469.473,
3484,186.1134306835016,2.7155738,,,,,,,,,,,10533.328,28686.432,0,43235.453,9975.305,13743.046,14250.41,48627.266,9118.813,64846.836,23671.383,55929.68,0,40816.395,45954.68,43951.285,44448.223,41325.062,
3495,237.08880668560732,2.705771,,,,,,,,,,,0,0,0,25346.332,0,2526.226,16107.431,2516.9944,0,0,34706.08,0,0,8859.597,9153.988,7503.9614,0,0,
3500,363.10755968552974,2.7170956,,,,,,,,,,,0,2309.728,0,17283.7,4940.102,106743.77,16584.705,87333.18,52985.824,1851.8005,31261.447,1688.4576,0,47203.63,51504.74,51116.86,46255.805,51376.938,
3506,433.09875977451367,2.7209356,,,,,,,,,,,0,0,0,0,0,34951.23,0,54678.258,26720.205,0,0,0,0,6933.16,8589.109,6700.1626,5839.904,0,
3510,439.1567612868902,2.70375,,,,,,,,,,,0,0,0,0,0,24837.186,0,35648.43,11781.895,0,2527.7297,0,0,1439.1558,0,2438.9885,0,3687.236,
3513,385.104190394334,2.7209127,,,,,,,,,,,0,0,0,0,0,173495.75,0,260689.52,53245.04,0,0,0,0,37068.06,34068.88,38243.523,35263.12,36919.594,
3516,307.156870311846,2.727169,,,,,,,,,,,0,0,0,0,0,13020.008,0,16620.957,13245.313,0,0,0,0,8288.257,9586.127,9080.141,6567.44,7912.6724,
3517,413.10216614670776,2.7246165,,,,,,,,,,,0,0,0,0,0,0,1733.6458,0,14178.694,8314.744,0,13975.64,1527.7096,4430.3486,8521.664,0,7696.807,0,
3519,243.0328499750528,2.7281866,,,,,,,,,,,0,33127.305,9473.457,10389.191,26644.146,0,9270.26,0,0,0,15738.331,0,0,8506.58,8145.223,6139.6777,6649.504,3492.1167,
3524,236.09277834987134,2.720021,,,,,,,,,,,0,0,0,0,0,0,0,0,1400.4408,207095.81,0,179860.11,0,58407.152,69696.75,55919.95,56017.414,65539.89,
3525,247.02426059598838,2.7205982,,,,,,,,,,,0,47017.19,31572.498,0,42279.188,0,0,2227.648,0,0,0,0,0,18815.791,19551.016,17784.42,20816.312,23189.906,
3526,529.1510081809561,2.7191055,,,,,,,,,,,0,0,0,0,0,0,0,7621.498,2700.7979,0,0,0,11556.57,7326.8438,10654.646,8218.208,0,0,
3527,211.097304802899,2.7212775,,,,,,,,,,,0,0,1853.6267,3658.3118,0,4751.78,3645.7131,10667.579,2717.59,6202.0786,8391.125,3302.5718,0,10147.572,14282.001,12110.4375,10840.099,4641.137,
3528,320.0927270518013,2.721589,,,,,,,,,,,0,6381.857,0,5111.3047,0,0,3643.6853,4392.092,0,28854.574,0,26041.908,0,0,7766.2856,7091.7817,8331.801,0,
3529,451.11516448731044,2.7252686,,,,,,,,,,,0,0,0,0,0,31823.465,1465.7933,48287.906,25508.863,2311.0674,0,0,0,13584.662,10295.941,11136.691,11031.7705,11136.4,
3530,373.1493865807589,2.733193,,,,,,,,,,,0,0,0,8367.114,0,6549.659,8348.889,8803.056,0,0,9829.667,0,0,3730.7383,0,2678.3665,2532.9607,4224.164,
3531,305.0299241257455,2.7203052,,,,,,,,,,,0,74914.84,74257.734,3227.1157,134091.98,0,2939.352,0,3013.9377,1312.9463,3415.834,0,0,137241.08,129360.36,133122.02,135368.62,146462.86,
